time,month,hour,dayofweek,quarter,weekofyear,dayofyear,avg_wind_speed,avg_wind_deg,avg_rain_1h,avg_rain_3h,avg_humidity,avg_clouds_all,avg_pressure,avg_snow_3h,weather_id,avg_temp_max,avg_temp_min,avg_temp,load_shortfall_3h
2015-01-01 03:00:00,1,3,3,1,1,1,2.4,90.33333333333333,0.0,0.0,71.33333333333333,0.0,814.06666666666,0.0,800.0,272.08645624999997,272.08645624999997,272.08645624999997,6715.6666666667
2015-01-01 06:00:00,1,6,3,1,1,1,2.06666666666,123.33333333333333,0.0,0.0,71.33333333333333,0.0,815.0,0.0,800.0,272.79953333334,272.79953333334,272.79953333334,4171.6666666667
2015-01-01 09:00:00,1,9,3,1,1,1,1.5333333333399999,183.11111111110003,0.0,0.0,67.1111111111,0.0,815.6666666666599,0.0,800.0,277.22404583336004,277.22404583336004,277.22404583336004,4274.6666666667
2015-01-01 12:00:00,1,12,3,1,1,1,1.86666666666,160.22222222223334,0.0,0.0,58.55555555553334,0.0,820.33333333334,0.0,800.0,283.3515875,283.3515875,283.3515875,5075.6666666667
2015-01-01 15:00:00,1,15,3,1,1,1,1.9333333333199998,150.66666666666666,0.0,0.0,58.1111111111,0.6666666666666666,829.1333333333201,0.0,800.0,283.1345,283.1345,283.1345,6620.6666666667
2015-01-01 18:00:00,1,18,3,1,1,1,2.00000000002,151.0,0.0,0.0,69.8888888889,4.1111111111000005,824.93333333334,0.0,800.166666666675,279.28485208333996,279.28485208334,279.28485208334,6842.0
2015-01-01 21:00:00,1,21,3,1,1,1,1.66666666666,164.77777777776666,0.0,0.0,76.77777777776667,5.4444444444333335,815.86666666666,0.0,800.166666666675,275.18202083332,275.18202083332,275.18202083332,10760.3333333333
2015-01-02 00:00:00,1,0,4,1,1,2,1.5333333333199999,185.88888888889997,0.0,0.0,76.55555555556667,2.8888888889,815.80000000002,0.0,800.083333333325,273.9515,273.9515,273.9515,10866.0
2015-01-02 03:00:00,1,3,4,1,1,2,1.53333333334,201.7777777777667,0.0,0.0,76.66666666666667,1.7777777777666666,815.7333333333199,0.0,800.0,273.28402291668,273.28402291668,273.28402291668,-1850.3333333333
2015-01-02 06:00:00,1,6,4,1,1,2,1.46666666666,197.7777777777667,0.0,0.0,75.33333333333333,5.1111111111000005,816.39999999998,0.0,800.25,273.6938,273.69379999999995,273.69379999999995,-4002.3333333333
2015-01-02 09:00:00,1,9,4,1,1,2,1.6,181.7777777777667,0.0,0.0,71.33333333333333,7.1111111111000005,817.0,0.0,800.25,277.30844583334,277.30844583334,277.30844583334,-2893.0
2015-01-02 12:00:00,1,12,4,1,1,2,1.6,178.7777777777667,0.0,0.0,59.1111111111,7.0,825.7333333333402,0.0,800.25,284.02615416666,284.02615416666,284.02615416666,539.3333333333
2015-01-02 15:00:00,1,15,4,1,1,2,1.6666666666799999,176.33333333333334,0.0,0.0,58.777777777766666,9.555555555566666,830.2666666666601,0.0,800.333333333325,284.32189166664,284.32189166664,284.32189166664,65.0
2015-01-02 18:00:00,1,18,4,1,1,2,1.6,168.44444444446665,0.0,0.0,75.33333333336667,12.888888888866667,825.5333333333199,0.0,800.75,280.14613333332,280.14613333332005,280.14613333332,-1317.0
2015-01-02 21:00:00,1,21,4,1,1,2,1.6,164.33333333333334,0.0,0.0,78.55555555556667,4.4444444444333335,816.7333333333399,0.0,800.75,276.44873333334,276.44873333334,276.44873333334,5849.3333333333
2015-01-03 00:00:00,1,0,5,1,1,3,1.7333333333399998,175.55555555556666,0.0,0.0,78.7777777778,1.1111111110999998,818.40000000002,0.0,800.333333333325,275.10287708334,275.10287708334005,275.10287708334,7125.3333333333
2015-01-03 03:00:00,1,3,5,1,1,3,1.66666666666,175.66666666666666,0.0,0.0,75.33333333333333,2.2222222222333334,815.86666666668,0.0,800.25,274.31666666667996,274.31666666668,274.31666666667996,623.0
2015-01-03 06:00:00,1,6,5,1,1,3,1.6,174.11111111110003,0.0,0.0,74.44444444443333,3.5555555555666665,815.53333333332,0.0,800.083333333325,274.18996666666004,274.18996666666,274.18996666666004,-2679.3333333333
2015-01-03 09:00:00,1,9,5,1,1,3,1.8,181.55555555556666,0.0,0.0,74.33333333333333,2.8888888889,815.73333333334,0.0,800.083333333325,278.84000833334005,278.84000833334,278.84000833334,-1478.0
2015-01-03 12:00:00,1,12,5,1,1,3,1.8,181.11111111110003,0.0,0.0,69.0,1.1111111111,815.6,0.0,800.0,284.58511041666003,284.58511041666,284.58511041666,2212.6666666667
2015-01-03 15:00:00,1,15,5,1,1,3,1.6,170.44444444443334,0.0,0.0,63.88888888886667,0.0,821.7333333333399,0.0,800.0,285.92744791664,285.92744791664,285.92744791664,145.0
2015-01-03 18:00:00,1,18,5,1,1,3,1.2,165.0,0.0,0.0,77.33333333333333,0.0,820.4,0.0,800.0,280.71197916665994,280.71197916666,280.71197916665994,-2013.0
2015-01-03 21:00:00,1,21,5,1,1,3,1.2,107.0,0.0,0.0,77.33333333336667,0.0,813.46666666668,0.0,800.0,276.86885625,276.86885625,276.86885625,2435.6666666667
2015-01-04 00:00:00,1,0,6,1,1,4,1.2,94.11111111113333,0.0,0.0,74.0,1.7777777777666666,813.1333333333401,0.0,800.0,275.88639999998003,275.88639999998,275.88639999998003,2806.3333333333
2015-01-04 03:00:00,1,3,6,1,1,4,1.7333333333199998,82.0,0.0,0.0,73.66666666666667,10.333333333333334,812.66666666666,0.0,800.416666666675,275.84955625000003,275.84955625,275.84955625,2710.0
2015-01-04 06:00:00,1,6,6,1,1,4,1.7333333333399998,150.44444444443334,0.05,0.0,75.22222222223333,22.22222222223333,812.6666666666599,0.0,750.25,276.23536666666,276.23536666666,276.23536666666,1281.3333333333
2015-01-04 09:00:00,1,9,6,1,1,4,1.4,134.66666666666666,0.075,0.0,76.0,29.555555555566666,812.93333333334,0.0,725.0,278.59113333334005,278.59113333334,278.59113333334,5200.0
